aten_op,input_shapes,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 9, 12, 64], [512, 9, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,232.5,0.02,19.38
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 14, 12, 64], [512, 14, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,230.0,0.02,19.16
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 11, 12, 64], [512, 11, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,229.4,0.02,19.12
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 12, 12, 64], [512, 12, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,229.1,0.02,19.09
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 13, 12, 64], [512, 13, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,228.7,0.02,19.06
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 10, 12, 64], [512, 10, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,228.0,0.02,19.00
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 16, 12, 64], [512, 16, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,227.1,0.02,18.93
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 15, 12, 64], [512, 15, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,225.2,0.02,18.77
aten::all,"[[512, 204]]",1,27.0,0.00,26.98
aten::all,"[[512, 201]]",1,26.8,0.00,26.78
aten::all,"[[512, 203]]",1,26.5,0.00,26.54
aten::all,"[[512, 205]]",1,26.3,0.00,26.30
aten::all,"[[512, 196]]",1,26.1,0.00,26.14
aten::copy_,"[[512, 9], [512, 9], []]",4,26.1,0.00,6.53
aten::all,"[[512, 202]]",1,26.0,0.00,26.02
aten::all,"[[512, 207]]",1,26.0,0.00,26.02
aten::all,"[[512, 206]]",1,26.0,0.00,26.02
aten::all,"[[512, 200]]",1,26.0,0.00,25.98
aten::all,"[[512, 195]]",1,25.9,0.00,25.94
aten::all,"[[512, 198]]",1,25.9,0.00,25.86
aten::all,"[[512, 199]]",1,25.7,0.00,25.74
aten::all,"[[512, 197]]",1,25.7,0.00,25.70
aten::all,"[[512, 185]]",1,25.7,0.00,25.66
aten::all,"[[512, 188]]",1,25.3,0.00,25.30
aten::all,"[[512, 192]]",1,25.2,0.00,25.22
aten::all,"[[512, 189]]",1,25.2,0.00,25.18
aten::all,"[[512, 194]]",1,25.2,0.00,25.18
aten::all,"[[512, 186]]",1,25.1,0.00,25.14
aten::all,"[[512, 191]]",1,25.1,0.00,25.10
aten::all,"[[512, 193]]",1,25.1,0.00,25.10
aten::all,"[[512, 190]]",1,25.1,0.00,25.06
aten::all,"[[512, 187]]",1,24.9,0.00,24.90
aten::all,"[[512, 184]]",1,24.7,0.00,24.66
aten::all,"[[512, 177]]",1,24.6,0.00,24.61
aten::all,"[[512, 173]]",1,24.6,0.00,24.57
aten::all,"[[512, 179]]",1,24.5,0.00,24.49
aten::all,"[[512, 175]]",1,24.4,0.00,24.41
aten::all,"[[512, 182]]",1,24.4,0.00,24.38
aten::all,"[[512, 183]]",1,24.4,0.00,24.37
aten::all,"[[512, 181]]",1,23.9,0.00,23.93
aten::all,"[[512, 178]]",1,23.9,0.00,23.89
aten::all,"[[512, 170]]",1,23.9,0.00,23.85
aten::all,"[[512, 180]]",1,23.7,0.00,23.73
aten::all,"[[512, 176]]",1,23.7,0.00,23.65
aten::all,"[[512, 172]]",1,23.5,0.00,23.45
aten::all,"[[512, 169]]",1,23.5,0.00,23.45
aten::all,"[[512, 174]]",1,23.4,0.00,23.37
aten::all,"[[512, 171]]",1,23.3,0.00,23.33
aten::all,"[[512, 168]]",1,23.0,0.00,23.01
aten::all,"[[512, 166]]",1,23.0,0.00,22.97
aten::all,"[[512, 165]]",1,23.0,0.00,22.97
aten::all,"[[512, 153]]",1,22.8,0.00,22.81
aten::all,"[[512, 167]]",1,22.8,0.00,22.77
aten::all,"[[512, 155]]",1,22.7,0.00,22.69
aten::all,"[[512, 164]]",1,22.6,0.00,22.57
aten::all,"[[512, 161]]",1,22.5,0.00,22.49
aten::mul,"[[512, 9], []]",2,22.5,0.00,11.23
aten::all,"[[512, 156]]",1,22.4,0.00,22.45
aten::all,"[[512, 160]]",1,22.4,0.00,22.45
aten::all,"[[512, 163]]",1,22.4,0.00,22.45
aten::all,"[[512, 158]]",1,22.3,0.00,22.29
aten::all,"[[512, 162]]",1,22.2,0.00,22.17
aten::all,"[[512, 154]]",1,22.1,0.00,22.09
aten::all,"[[512, 159]]",1,22.1,0.00,22.09
aten::all,"[[512, 157]]",1,22.0,0.00,21.97
aten::all,"[[512, 150]]",1,21.9,0.00,21.89
aten::all,"[[512, 146]]",1,21.8,0.00,21.77
aten::all,"[[512, 148]]",1,21.7,0.00,21.73
aten::all,"[[512, 145]]",1,21.6,0.00,21.65
aten::all,"[[512, 149]]",1,21.6,0.00,21.61
aten::all,"[[512, 147]]",1,21.6,0.00,21.57
aten::all,"[[512, 152]]",1,21.5,0.00,21.49
aten::copy_,"[[], [], []]",6,21.2,0.00,3.54
aten::all,"[[512, 144]]",1,21.2,0.00,21.17
aten::all,"[[512, 136]]",1,21.0,0.00,21.01
aten::all,"[[512, 143]]",1,20.9,0.00,20.93
aten::all,"[[512, 140]]",1,20.8,0.00,20.85
aten::all,"[[512, 142]]",1,20.8,0.00,20.77
aten::all,"[[512, 137]]",1,20.7,0.00,20.73
aten::all,"[[512, 151]]",1,20.7,0.00,20.69
aten::all,"[[512, 138]]",1,20.5,0.00,20.49
aten::all,"[[512, 134]]",1,20.3,0.00,20.32
aten::all,"[[512, 141]]",1,20.3,0.00,20.29
aten::all,"[[512, 139]]",1,20.2,0.00,20.24
